"","generator","type","sampsize","alpha","lambda1","lambda2","beta0","beta1","DRtarget","DLTtarget","dose1_selec","dose2_selec","dose3_selec","dose4_selec","dose5_selec"
"1","weibull","inc_small",101,1.1,0.012,0.005,-0.5,2,50,30,59.8,34.8,5.2,0.2,0
"2","weibull","inc_small",101,1.1,0.0083,0.0033,-0.5,2,50,30,2.7,23.7,53.9,19.1,0.6
"3","weibull","inc_small",101,1.1,0.0038,0.0016,-0.5,2,50,30,0,0.2,5.8,52.3,41.7
"4","weibull","inc_small",101,1.1,0.0074,0.003,-0.5,2,40,20,59.4,34.7,5.8,0.1,0
"5","weibull","inc_small",101,1.1,0.0053,0.002,-0.5,2,40,20,5.8,28.9,49.1,15.4,0.8
"6","weibull","inc_small",101,1.1,0.0025,0.001,-0.5,2,40,20,0,1.6,14.7,57.8,25.9
"7","weibull","dec_small",101,0.8,0.0295,0.0145,-0.5,2,50,30,67.4,28.3,4.2,0.1,0
"8","weibull","dec_small",101,0.8,0.0214,0.01,-0.5,2,50,30,6.1,33.2,49.8,10.6,0.3
"9","weibull","dec_small",101,0.8,0.0096,0.0047,-0.5,2,50,30,0,0.2,11,61.4,27.4
"10","weibull","dec_small",101,0.8,0.0206,0.009,-0.5,2,40,20,67.7,27.2,4.9,0.2,0
"11","weibull","dec_small",101,0.8,0.0151,0.0063,-0.5,2,40,20,7.5,34.8,46.1,11,0.6
"12","weibull","dec_small",101,0.8,0.0068,0.0029,-0.5,2,40,20,0,2.2,17.6,62,18.2
"13","weibull","dec_big",101,0.5,0.08,0.043,-0.5,2,50,30,80.1,18,1.9,0,0
"14","weibull","dec_big",101,0.5,0.058,0.03,-0.5,2,50,30,7.2,36.4,46.4,9.9,0.1
"15","weibull","dec_big",101,0.5,0.026,0.014,-0.5,2,50,30,0,0.7,16.7,64.9,17.7
"16","weibull","dec_big",101,0.5,0.06,0.028,-0.5,2,40,20,78.8,19.2,2,0,0
"17","weibull","dec_big",101,0.5,0.044,0.02,-0.5,2,40,20,12,39.3,40.1,8.4,0.2
"18","weibull","dec_big",101,0.5,0.0195,0.009,-0.5,2,40,20,0,3.5,24.1,60,12.4
"19","weibull","inc_small",61,1.1,0.012,0.005,-0.5,2,50,30,59.3,33.4,6.9,0.4,0
"20","weibull","inc_small",61,1.1,0.0083,0.0033,-0.5,2,50,30,4.3,26.5,45.5,22.1,1.6
"21","weibull","inc_small",61,1.1,0.0038,0.0016,-0.5,2,50,30,0,0.8,9.1,49.3,40.8
"22","weibull","inc_small",61,1.1,0.0074,0.003,-0.5,2,40,20,59.9,31.1,8.5,0.5,0
"23","weibull","inc_small",61,1.1,0.0053,0.002,-0.5,2,40,20,9.1,32.9,39.1,18,0.9
"24","weibull","inc_small",61,1.1,0.0025,0.001,-0.5,2,40,20,0.1,3.6,21.6,49.4,25.3
"25","weibull","dec_small",61,0.8,0.0295,0.0145,-0.5,2,50,30,65.7,28.1,5.5,0.7,0
"26","weibull","dec_small",61,0.8,0.0214,0.01,-0.5,2,50,30,8.6,34.8,40.5,15.6,0.5
"27","weibull","dec_small",61,0.8,0.0096,0.0047,-0.5,2,50,30,0,2,13.3,54.1,30.6
"28","weibull","dec_small",61,0.8,0.0206,0.009,-0.5,2,40,20,66.1,27.6,6.2,0.1,0
"29","weibull","dec_small",61,0.8,0.0151,0.0063,-0.5,2,40,20,12.7,33.8,36.3,15.7,1.5
"30","weibull","dec_small",61,0.8,0.0068,0.0029,-0.5,2,40,20,0.5,5.6,23.6,51,19.3
"31","weibull","dec_big",61,0.5,0.08,0.043,-0.5,2,50,30,76.1,20.4,3.4,0.1,0
"32","weibull","dec_big",61,0.5,0.058,0.03,-0.5,2,50,30,12,42.1,34.2,11.3,0.4
"33","weibull","dec_big",61,0.5,0.026,0.014,-0.5,2,50,30,0.4,4.4,23.2,52.4,19.6
"34","weibull","dec_big",61,0.5,0.06,0.028,-0.5,2,40,20,75.4,20.1,4.4,0.1,0
"35","weibull","dec_big",61,0.5,0.044,0.02,-0.5,2,40,20,16.8,41.1,28.9,12.6,0.6
"36","weibull","dec_big",61,0.5,0.0195,0.009,-0.5,2,40,20,0.5,9.7,26.4,48.7,14.7
"37","weibull","inc_small",31,1.1,0.012,0.005,-0.5,2,50,30,49.8,33.1,13.4,3.7,0
"38","weibull","inc_small",31,1.1,0.0083,0.0033,-0.5,2,50,30,10.1,27.5,32.5,26.2,3.7
"39","weibull","inc_small",31,1.1,0.0038,0.0016,-0.5,2,50,30,0.2,3.7,15.8,46.6,33.7
"40","weibull","inc_small",31,1.1,0.0074,0.003,-0.5,2,40,20,56.9,26.6,12.5,4,0
"41","weibull","inc_small",31,1.1,0.0053,0.002,-0.5,2,40,20,11.5,31.9,29.6,23.8,3.2
"42","weibull","inc_small",31,1.1,0.0025,0.001,-0.5,2,40,20,1.4,9.8,22.8,44.7,21.3
"43","weibull","dec_small",31,0.8,0.0295,0.0145,-0.5,2,50,30,60,26.8,10.4,2.8,0
"44","weibull","dec_small",31,0.8,0.0214,0.01,-0.5,2,50,30,12.5,35.7,29.2,20.1,2.5
"45","weibull","dec_small",31,0.8,0.0096,0.0047,-0.5,2,50,30,1,5.8,19.9,42.9,30.4
"46","weibull","dec_small",31,0.8,0.0206,0.009,-0.5,2,40,20,60.2,28,9.9,1.9,0
"47","weibull","dec_small",31,0.8,0.0151,0.0063,-0.5,2,40,20,18.5,32.8,27.4,18.4,2.9
"48","weibull","dec_small",31,0.8,0.0068,0.0029,-0.5,2,40,20,2.7,13.2,25.8,39.2,19.1
"49","weibull","dec_big",31,0.5,0.08,0.043,-0.5,2,50,30,66.2,26,6.5,1.3,0
"50","weibull","dec_big",31,0.5,0.058,0.03,-0.5,2,50,30,18.1,38.1,27.2,15.1,1.5
"51","weibull","dec_big",31,0.5,0.026,0.014,-0.5,2,50,30,0.8,12.8,24.8,41.8,19.8
"52","weibull","dec_big",31,0.5,0.06,0.028,-0.5,2,40,20,66.6,25.3,5.8,2.2,0.1
"53","weibull","dec_big",31,0.5,0.044,0.02,-0.5,2,40,20,24.3,35.6,23.3,15,1.8
"54","weibull","dec_big",31,0.5,0.0195,0.009,-0.5,2,40,20,2.6,16.3,26.9,38.7,15.5
